item_id,lemma,pos,period,id1,id2,human_median,human_mean,human_n,human_spread,overlap_jaccard,overlap_tokenf1
lx-1-000,ball_nn,nn1,1,fic_1835_7272.txt-979-1,mag_1835_554348.txt-508-19,1.0,1.0,3,0.0,0.0,0.0
lx-1-001,ball_nn,nn1,1,fic_1842_555.txt-2985-38,fic_1860_9165.txt-196-14,1.0,1.0,2,0.0,0.0,0.0
lx-1-002,ball_nn,nn1,1,fic_1856_1562.txt-4022-8,mag_1856_576366.txt-108-8,1.0,1.0,2,0.0,0.0,0.0
lx-1-003,ball_nn,nn1,1,fic_1856_2880.txt-6515-14,nf_1838_747482.txt-1194-43,1.0,1.0,2,0.0,0.0,0.0
lx-1-004,bar_nn,nn1,1,fic_1859_9220.txt-7735-27,mag_1841_554975.txt-467-21,1.0,1.0,2,0.0,0.0,0.0
lx-1-005,bar_nn,nn1,2,fic_1966_10469.txt-1265-9,news_1982_668343.txt-120-14,1.0,1.0,2,0.0,0.0,0.0
lx-1-006,bar_nn,nn1,2,fic_1993_25035.txt-2235-16,mag_1977_490785.txt-157-11,1.0,1.0,2,0.0,0.0,0.0
lx-1-007,bar_nn,nn1,1,mag_1841_554975.txt-467-21,mag_1843_565272.txt-372-29,1.0,1.0,2,0.0,0.0,0.0
lx-1-008,bit_nn,nn1,1,fic_1835_5605.txt-2784-10,nf_1853_747976.txt-1572-25,1.0,1.0,2,0.0,0.0,0.0
lx-1-009,bit_nn,nn1,1,fic_1849_7231.txt-2627-10,nf_1853_747976.txt-1572-25,1.0,1.333,3,1.0,0.0,0.0
lx-1-010,bit_nn,nn1_vvd,2,fic_2009_36750.txt-54-11,nf_1997_773513.txt-272-7,1.0,1.0,2,0.0,0.0,0.0
lx-1-011,bit_nn,nn1,2,mag_1991_422593.txt-378-23,nf_1969_774314.txt-476-11,1.0,1.0,2,0.0,0.0,0.0
lx-1-012,edge_nn,nn1,2,fic_1967_10486.txt-2261-15,nf_2005_775709.txt-39-19,1.0,1.0,2,0.0,0.0,0.0
lx-1-013,graft_nn,nn1,2,fic_1960_23766.txt-261-28,fic_1968_10508.txt-3632-5,1.0,1.0,2,0.0,0.0,0.0
lx-1-014,graft_nn,nn1,2,fic_1960_23766.txt-261-28,fic_1977_16209.txt-471-4,1.0,2.2,5,3.0,0.0,0.0
lx-1-015,graft_nn,nn1_vv0,2,fic_1974_13208.txt-891-12,fic_1999_30055.txt-146-4,1.0,1.333,3,1.0,0.0,0.0
lx-1-016,graft_nn,nn2_vvz,2,nf_1999_775055.txt-95-13,nf_2007_747166.txt-119-18,1.0,1.0,2,0.0,0.0,0.0
lx-1-017,grain_nn,nn1,2,fic_1971_10541.txt-3363-5,nf_1976_774315.txt-1263-10,1.0,1.333,3,1.0,0.0,0.0
lx-1-018,grain_nn,nn1,2,news_1982_668369.txt-78-19,nf_1976_774315.txt-2019-44,1.0,1.667,3,2.0,0.0,0.0
lx-1-019,grain_nn,nn2,2,nf_1973_774330.txt-133-21,nf_1973_774379.txt-1345-13,1.0,1.333,3,1.0,0.0,0.0
lx-1-020,head_nn,nn1,1,fic_1840_8909.txt-2220-19,nf_1837_755525.txt-2307-16,1.0,1.0,2,0.0,0.0213,0.0417
lx-1-021,land_nn,nn1,2,fic_1966_10481.txt-1732-17,nf_1995_777121.txt-337-16,1.0,1.0,2,0.0,0.0,0.0
lx-1-022,land_nn,nn2,2,fic_1973_16200.txt-246-1,mag_1989_329755.txt-2-17,1.0,1.0,2,0.0,0.0,0.0
lx-1-023,lass_nn,nn1,2,fic_1974_780164.txt-1015-9,news_2006_623988.txt-62-17,1.0,1.0,3,0.0,0.0,0.0
lx-1-024,lass_nn,nn1,2,fic_1995_39386.txt-190-9,news_2006_623988.txt-62-17,1.0,1.0,3,0.0,0.0385,0.0741
lx-1-025,lass_nn,nn2,2,fic_1998_43328.txt-581-6,fic_2001_28777.txt-76-20,1.0,1.0,2,0.0,0.0,0.0
lx-1-026,lass_nn,nn2,2,fic_1998_43328.txt-581-6,mag_1988_487706.txt-108-9,1.0,1.0,2,0.0,0.0,0.0
lx-1-027,part_nn,nn1_vv0%,1,fic_1841_8303.txt-288-9,nf_1833_747941.txt-1438-1,1.0,1.0,2,0.0,0.0,0.0
lx-1-028,part_nn,nn1,1,fic_1854_7839.txt-1488-13,mag_1846_524042.txt-173-25,1.0,1.0,2,0.0,0.0,0.0
lx-1-029,part_nn,nn1,1,mag_1852_504512.txt-37-17,nf_1824_747685.txt-1690-42,1.0,1.333,3,1.0,0.0345,0.0667
lx-1-030,part_nn,nn1,2,mag_1977_490786.txt-133-4,mag_1991_422282.txt-25-21,1.0,1.333,3,1.0,0.0,0.0
