item_id,arm,difficulty,sentence,dim1,dim2,direction_gold,nli_hypothesis,nli_gold,fc_gold
base-lecture-pos,baseline,1,"The longer the lecture ran, the more engaged the students became.",the lecture's length,the students' engagement,increase,"As the lecture's length increases, the students' engagement increases.",0,INCREASE
base-ticket-inv,baseline,1,"The higher the ticket price, the smaller the crowd grew.",the ticket price,the crowd size,decrease,"As the ticket price increases, the crowd size increases.",2,DECREASE
base-building-pos,baseline,1,"The older the building, the higher the rent climbed.",the building's age,the rent,increase,"As the building's age increases, the rent increases.",0,INCREASE
base-music-inv,baseline,1,"The louder the music, the slower the diners ate.",the music's loudness,the diners' eating speed,decrease,"As the music's loudness increases, the diners' eating speed increases.",2,DECREASE
conf-reservoir,conflicting-cue,2,"The harder it rained, the less the reservoir filled.",the rainfall,the reservoir's water level,decrease,"As the rainfall increases, the reservoir's water level increases.",2,DECREASE
conf-altitude,conflicting-cue,2,"The higher the climbers ascended, the more oxygen filled the air around them.",the climbers' altitude,the amount of oxygen in the air,increase,"As the climbers' altitude increases, the amount of oxygen in the air increases.",0,INCREASE
conf-training,conflicting-cue,2,"The more she trained, the weaker her muscles grew.",the amount she trained,her muscle strength,decrease,"As the amount she trained increases, her muscle strength increases.",2,DECREASE
conf-sunlight,conflicting-cue,2,"The more sunlight the plants received, the less they grew.",the sunlight the plants received,the plants' growth,decrease,"As the sunlight the plants received increases, the plants' growth increases.",2,DECREASE
conf-speed,conflicting-cue,2,"The faster the car drove, the longer the trip took.",the car's speed,the trip's duration,increase,"As the car's speed increases, the trip's duration increases.",0,INCREASE
conf-debt,conflicting-cue,2,"The more money he borrowed, the smaller his debt became.",the money he borrowed,his debt,decrease,"As the money he borrowed increases, his debt increases.",2,DECREASE
para-lecture-pos,paraphrase,2,"As the lecture ran longer, the students became more engaged.",the lecture's length,the students' engagement,increase,"As the lecture's length increases, the students' engagement increases.",0,INCREASE
para-building-inv,paraphrase,2,"As the building got older, its rent fell ever lower.",the building's age,the rent,decrease,"As the building's age increases, the rent increases.",2,DECREASE
para-trail-pos,paraphrase,2,"As the trail grew steeper, more hikers attempted it.",the trail's steepness,the number of hikers attempting it,increase,"As the trail's steepness increases, the number of hikers attempting it increases.",0,INCREASE
para-cafe-inv,paraphrase,2,"As the morning got colder, the cafe grew quieter.",the morning's coldness,the cafe's busyness,decrease,"As the morning's coldness increases, the cafe's busyness increases.",2,DECREASE
multi-flood,multi-step,3,"The more it rained, the higher the river rose. And the higher the river rose, the more the fields flooded.",the rainfall,the flooding of the fields,increase,"As the rainfall increases, the flooding of the fields increases.",0,INCREASE
multi-fish,multi-step,3,"The more the factory produced, the more it polluted the bay. And the more it polluted the bay, the fewer fish survived.",the factory's output,the number of surviving fish,decrease,"As the factory's output increases, the number of surviving fish increases.",2,DECREASE
multi-bears,multi-step,3,"The colder the winter grew, the less the bears foraged. And the less the bears foraged, the thinner they became.",the winter's coldness,the bears' thinness,increase,"As the winter's coldness increases, the bears' thinness increases.",0,INCREASE
multi-economy,multi-step,3,"The higher the interest rate climbed, the less people borrowed. And the less people borrowed, the slower the economy grew.",the interest rate,the economy's growth rate,decrease,"As the interest rate increases, the economy's growth rate increases.",2,DECREASE
multi-team,multi-step,3,"The more the team practiced, the sharper their play became. And the sharper their play became, the more games they won.",the team's practice,the number of games they won,increase,"As the team's practice increases, the number of games they won increases.",0,INCREASE
