item_id,target,pos,gold,pole,wic_line
wic-T-000,land,V,T,clear-same,218
wic-T-001,carry,V,T,clear-same,508
wic-T-002,top,N,T,clear-same,638
wic-T-003,make,V,T,clear-same,1443
wic-T-004,fit,V,T,clear-same,1714
wic-T-005,make,V,T,clear-same,1805
wic-T-006,take,V,T,clear-same,1824
wic-T-007,serve,V,T,clear-same,2006
wic-T-008,tell,V,T,clear-same,2010
wic-T-009,locate,V,T,clear-same,2796
wic-T-010,credit,N,T,clear-same,3131
wic-T-011,crash,V,T,clear-same,3772
wic-T-012,game,N,T,clear-same,4100
wic-T-013,difference,N,T,clear-same,4332
wic-T-014,fit,V,T,clear-same,4599
wic-T-015,drop,N,T,clear-same,4609
wic-T-016,practice,N,T,clear-same,4778
wic-T-017,play,V,T,clear-same,5077
wic-T-018,personification,N,T,clear-same,5108
wic-T-019,join,V,T,clear-same,5355
wic-F-000,fall,V,F,clear-different,149
wic-F-001,occasion,N,F,clear-different,496
wic-F-002,draw,V,F,clear-different,606
wic-F-003,trick,N,F,clear-different,1059
wic-F-004,strike,V,F,clear-different,1093
wic-F-005,tread,V,F,clear-different,1316
wic-F-006,run,V,F,clear-different,1503
wic-F-007,pay,V,F,clear-different,1661
wic-F-008,trial,N,F,clear-different,1895
wic-F-009,section,N,F,clear-different,2002
wic-F-010,keep,V,F,clear-different,2255
wic-F-011,raise,V,F,clear-different,2658
wic-F-012,masticate,V,F,clear-different,3032
wic-F-013,impression,N,F,clear-different,3424
wic-F-014,story,N,F,clear-different,3701
wic-F-015,loss,N,F,clear-different,4009
wic-F-016,quality,N,F,clear-different,4678
wic-F-017,grate,V,F,clear-different,4827
wic-F-018,course,N,F,clear-different,5102
wic-F-019,prescription,N,F,clear-different,5280
