lemma,pos,verdict,nT,nF,n_syn,n_clusters,lexfiles
make,V,HOMONYM_CAND,54,30,49,44,verb.body|verb.change|verb.cognition|verb.communication|verb.contact|verb.creation|verb.motion|verb.perception|verb.possession|verb.social|verb.stative
carry,V,HOMONYM_CAND,29,26,40,36,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.creation|verb.motion|verb.possession|verb.social|verb.stative
break,V,HOMONYM_CAND,22,33,59,49,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.emotion|verb.motion|verb.possession|verb.social|verb.stative
take,V,HOMONYM_CAND,32,23,42,38,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.motion|verb.perception|verb.possession|verb.social|verb.stative
head,N,HOMONYM_CAND,27,27,33,2,noun.act|noun.animal|noun.artifact|noun.body|noun.cognition|noun.communication|noun.event|noun.group|noun.location|noun.object|noun.person|noun.phenomenon|noun.plant|noun.quantity|noun.state
work,V,HOMONYM_CAND,26,26,27,24,verb.body|verb.change|verb.cognition|verb.consumption|verb.contact|verb.creation|verb.emotion|verb.motion|verb.perception|verb.social|verb.stative
play,V,HOMONYM_CAND,31,19,35,28,verb.body|verb.cognition|verb.competition|verb.consumption|verb.contact|verb.creation|verb.motion|verb.social|verb.stative
come,V,HOMONYM_CAND,30,17,21,21,verb.change|verb.cognition|verb.motion|verb.perception|verb.stative
see,V,HOMONYM_CAND,24,21,24,20,verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.motion|verb.perception|verb.social
give,V,HOMONYM_CAND,12,33,44,28,verb.body|verb.change|verb.cognition|verb.communication|verb.consumption|verb.contact|verb.creation|verb.motion|verb.possession|verb.social
hold,V,HOMONYM_CAND,13,31,36,33,verb.body|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.creation|verb.emotion|verb.motion|verb.possession|verb.social|verb.stative
keep,V,HOMONYM_CAND,17,26,22,20,verb.change|verb.cognition|verb.communication|verb.consumption|verb.contact|verb.possession|verb.social|verb.stative
cut,V,HOMONYM_CAND,12,30,41,35,verb.body|verb.change|verb.communication|verb.contact|verb.creation|verb.motion|verb.perception|verb.social|verb.stative
raise,V,HOMONYM_CAND,15,27,27,24,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.creation|verb.emotion|verb.motion|verb.possession|verb.social
go,V,HOMONYM_CAND,13,28,30,29,verb.change|verb.cognition|verb.competition|verb.consumption|verb.contact|verb.motion|verb.perception|verb.social|verb.stative
run,V,HOMONYM_CAND,24,17,41,36,verb.change|verb.competition|verb.contact|verb.creation|verb.motion|verb.possession|verb.social|verb.stative
catch,V,HOMONYM_CAND,10,30,29,26,verb.body|verb.change|verb.cognition|verb.competition|verb.contact|verb.creation|verb.emotion|verb.motion|verb.perception|verb.possession|verb.social|verb.weather
fall,V,HOMONYM_CAND,20,19,32,27,verb.change|verb.contact|verb.motion|verb.possession|verb.social|verb.stative|verb.weather
draw,V,HOMONYM_CAND,9,30,36,34,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.creation|verb.emotion|verb.motion|verb.possession|verb.social|verb.stative
turn,V,HOMONYM_CAND,12,27,26,23,verb.body|verb.change|verb.communication|verb.competition|verb.contact|verb.creation|verb.motion|verb.possession|verb.social|verb.stative
get,V,HOMONYM_CAND,10,29,36,32,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.emotion|verb.motion|verb.perception|verb.possession
life,N,HOMONYM_CAND,10,25,14,2,noun.Tops|noun.attribute|noun.cognition|noun.communication|noun.motive|noun.person|noun.phenomenon|noun.state|noun.time
strike,V,HOMONYM_CAND,11,24,21,21,verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.emotion|verb.motion|verb.perception|verb.possession|verb.social|verb.stative
be,V,HOMONYM_CAND,27,5,13,13,verb.possession|verb.social|verb.stative
hit,V,HOMONYM_CAND,11,20,17,17,verb.communication|verb.competition|verb.consumption|verb.contact|verb.motion|verb.perception|verb.possession|verb.social
face,N,HOMONYM_CAND,13,18,13,2,noun.artifact|noun.attribute|noun.body|noun.communication|noun.location|noun.person
pay,V,HOMONYM_CAND,13,17,11,8,verb.cognition|verb.communication|verb.possession|verb.social|verb.stative
beat,V,HOMONYM_CAND,3,26,23,19,verb.body|verb.cognition|verb.competition|verb.contact|verb.creation|verb.motion|verb.perception|verb.social|verb.stative
point,N,HOMONYM_CAND,4,24,26,2,noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.location|noun.object|noun.possession|noun.quantity|noun.relation|noun.shape|noun.state|noun.time
pull,V,HOMONYM_CAND,13,15,17,16,verb.body|verb.change|verb.competition|verb.contact|verb.motion|verb.social
drive,V,HOMONYM_CAND,4,23,22,15,verb.communication|verb.competition|verb.consumption|verb.contact|verb.creation|verb.motion|verb.social|verb.stative
connect,V,HOMONYM_CAND,21,6,11,9,verb.cognition|verb.communication|verb.contact|verb.social|verb.stative
have,V,HOMONYM_CAND,9,17,19,18,verb.body|verb.change|verb.communication|verb.consumption|verb.contact|verb.creation|verb.perception|verb.possession|verb.social|verb.stative
cover,V,HOMONYM_CAND,4,21,26,22,verb.body|verb.communication|verb.competition|verb.contact|verb.motion|verb.perception|verb.possession|verb.social|verb.stative
know,V,HOMONYM_CAND,23,2,11,11,verb.cognition|verb.contact
leave,V,HOMONYM_CAND,12,13,14,14,verb.change|verb.cognition|verb.motion|verb.possession|verb.social|verb.stative
place,N,HOMONYM_CAND,5,19,16,2,noun.act|noun.cognition|noun.communication|noun.location|noun.state
use,V,HOMONYM_CAND,19,5,6,6,verb.consumption|verb.social
side,N,HOMONYM_CAND,12,11,12,2,noun.artifact|noun.body|noun.cognition|noun.communication|noun.event|noun.food|noun.group|noun.location|noun.object
