item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
roman-cc-positive,roman,typical,cc-positive,小説の厚さ,読者の辛抱強さ,小説が厚ければ厚いほど、読者は辛抱強くなった。,increase,小説の厚さが増すと、読者の辛抱強さも増す。,0
roman-cc-inverse,roman,typical,cc-inverse,小説の厚さ,読者の辛抱強さ,小説が厚ければ厚いほど、読者は飽きっぽくなった。,decrease,小説の厚さが増すと、読者の辛抱強さも増す。,2
roman-ctrl-two,roman,typical,ctrl-two,小説の厚さ,読者の辛抱強さ,小説は厚かった。読者は辛抱強かった。,undetermined,小説の厚さが増すと、読者の辛抱強さも増す。,1
roman-ctrl-single,roman,typical,ctrl-single,小説の厚さ,読者の辛抱強さ,小説は前作より厚かった。,undetermined,小説の厚さが増すと、読者の辛抱強さも増す。,1
oven-cc-positive,oven,typical,cc-positive,オーブンの熱さ,客の数,オーブンが熱ければ熱いほど、客が増えた。,increase,オーブンの熱さが増すと、客の数も増す。,0
oven-cc-inverse,oven,typical,cc-inverse,オーブンの熱さ,客の数,オーブンが熱ければ熱いほど、客が減った。,decrease,オーブンの熱さが増すと、客の数も増す。,2
oven-ctrl-two,oven,typical,ctrl-two,オーブンの熱さ,客の数,オーブンは熱かった。客が大勢来た。,undetermined,オーブンの熱さが増すと、客の数も増す。,1
oven-ctrl-single,oven,typical,ctrl-single,オーブンの熱さ,客の数,オーブンはいつもより熱かった。,undetermined,オーブンの熱さが増すと、客の数も増す。,1
seminar-cc-positive,seminar,typical,cc-positive,セミナーの大きさ,議論の量,セミナーが大きければ大きいほど、議論が増えた。,increase,セミナーの大きさが増すと、議論の量も増す。,0
seminar-cc-inverse,seminar,typical,cc-inverse,セミナーの大きさ,議論の量,セミナーが大きければ大きいほど、議論が減った。,decrease,セミナーの大きさが増すと、議論の量も増す。,2
seminar-ctrl-two,seminar,typical,ctrl-two,セミナーの大きさ,議論の量,セミナーは大きかった。議論は活発だった。,undetermined,セミナーの大きさが増すと、議論の量も増す。,1
seminar-ctrl-single,seminar,typical,ctrl-single,セミナーの大きさ,議論の量,セミナーは講義より大きかった。,undetermined,セミナーの大きさが増すと、議論の量も増す。,1
summer-cc-positive,summer,typical,cc-positive,夏の暑さ,りんごの甘さ,夏が暑ければ暑いほど、りんごは甘くなった。,increase,夏の暑さが増すと、りんごの甘さも増す。,0
summer-cc-inverse,summer,typical,cc-inverse,夏の暑さ,りんごの甘さ,夏が暑ければ暑いほど、りんごの甘みが減った。,decrease,夏の暑さが増すと、りんごの甘さも増す。,2
summer-ctrl-two,summer,typical,ctrl-two,夏の暑さ,りんごの甘さ,夏は暑かった。りんごは甘かった。,undetermined,夏の暑さが増すと、りんごの甘さも増す。,1
summer-ctrl-single,summer,typical,ctrl-single,夏の暑さ,りんごの甘さ,夏は去年より暑かった。,undetermined,夏の暑さが増すと、りんごの甘さも増す。,1
road-cc-positive,road,typical,cc-positive,道路の広さ,運転手の速さ,道路が広ければ広いほど、運転手は速く走った。,increase,道路の広さが増すと、運転手の速さも増す。,0
road-cc-inverse,road,typical,cc-inverse,道路の広さ,運転手の速さ,道路が広ければ広いほど、運転手はゆっくり走った。,decrease,道路の広さが増すと、運転手の速さも増す。,2
road-ctrl-two,road,typical,ctrl-two,道路の広さ,運転手の速さ,道路は広かった。運転手は速く走った。,undetermined,道路の広さが増すと、運転手の速さも増す。,1
road-ctrl-single,road,typical,ctrl-single,道路の広さ,運転手の速さ,道路は旧道より広かった。,undetermined,道路の広さが増すと、運転手の速さも増す。,1
gallery-cc-positive,gallery,typical,cc-positive,ギャラリーの暗さ,来場者のささやき,ギャラリーが暗ければ暗いほど、来場者はひそひそと話した。,increase,ギャラリーの暗さが増すと、来場者のささやきも増す。,0
gallery-cc-inverse,gallery,typical,cc-inverse,ギャラリーの暗さ,来場者のささやき,ギャラリーが暗ければ暗いほど、来場者は声高に話した。,decrease,ギャラリーの暗さが増すと、来場者のささやきも増す。,2
gallery-ctrl-two,gallery,typical,ctrl-two,ギャラリーの暗さ,来場者のささやき,ギャラリーは暗かった。来場者はひそひそと話した。,undetermined,ギャラリーの暗さが増すと、来場者のささやきも増す。,1
gallery-ctrl-single,gallery,typical,ctrl-single,ギャラリーの暗さ,来場者のささやき,ギャラリーはロビーより暗かった。,undetermined,ギャラリーの暗さが増すと、来場者のささやきも増す。,1
startup-cc-positive,startup,typical,cc-positive,スタートアップの規模,投資家の慎重さ,スタートアップが大きければ大きいほど、投資家は慎重になった。,increase,スタートアップの規模が増すと、投資家の慎重さも増す。,0
startup-cc-inverse,startup,typical,cc-inverse,スタートアップの規模,投資家の慎重さ,スタートアップが大きければ大きいほど、投資家は慎重でなくなった。,decrease,スタートアップの規模が増すと、投資家の慎重さも増す。,2
startup-ctrl-two,startup,typical,ctrl-two,スタートアップの規模,投資家の慎重さ,スタートアップは大きかった。投資家は慎重だった。,undetermined,スタートアップの規模が増すと、投資家の慎重さも増す。,1
startup-ctrl-single,startup,typical,ctrl-single,スタートアップの規模,投資家の慎重さ,スタートアップは競合より大きかった。,undetermined,スタートアップの規模が増すと、投資家の慎重さも増す。,1
harbor-cc-positive,harbor,typical,cc-positive,港の忙しさ,魚の値段,港が忙しければ忙しいほど、魚の値段が上がった。,increase,港の忙しさが増すと、魚の値段も増す。,0
harbor-cc-inverse,harbor,typical,cc-inverse,港の忙しさ,魚の値段,港が忙しければ忙しいほど、魚の値段が下がった。,decrease,港の忙しさが増すと、魚の値段も増す。,2
