item_id,arm,construction,stem,condition,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct,calib
add-beat-control,add,resultative,beat,control,Maria beat the cream.,The cream became stiff.,NA,NA,NA,0
add-beat-construction,add,resultative,beat,construction,Maria beat the cream stiff.,The cream became stiff.,0,YES,1,0
add-beat-cue,add,resultative,beat,cue,"Maria beat the cream stiff, but the cream did not become stiff.",The cream became stiff.,2,NO,0,0
add-boil-control,add,resultative,boil,control,Jordan boiled the sauce.,The sauce became thick.,NA,NA,NA,0
add-boil-construction,add,resultative,boil,construction,Jordan boiled the sauce thick.,The sauce became thick.,0,YES,1,0
add-boil-cue,add,resultative,boil,cue,"Jordan boiled the sauce thick, but the sauce did not become thick.",The sauce became thick.,2,NO,0,0
add-cut-control,add,resultative,cut,control,Priya cut the rope.,The rope became short.,NA,NA,NA,1
add-cut-construction,add,resultative,cut,construction,Priya cut the rope short.,The rope became short.,0,YES,1,1
add-cut-cue,add,resultative,cut,cue,"Priya cut the rope short, but the rope did not become short.",The rope became short.,2,NO,0,0
add-hammer-control,add,resultative,hammer,control,Tomas hammered the metal.,The metal became flat.,NA,NA,NA,1
add-hammer-construction,add,resultative,hammer,construction,Tomas hammered the metal flat.,The metal became flat.,0,YES,1,1
add-hammer-cue,add,resultative,hammer,cue,"Tomas hammered the metal flat, but the metal did not become flat.",The metal became flat.,2,NO,0,0
add-kick-control,add,resultative,kick,control,Lena kicked the door.,The door became open.,NA,NA,NA,1
add-kick-construction,add,resultative,kick,construction,Lena kicked the door open.,The door became open.,0,YES,1,1
add-kick-cue,add,resultative,kick,cue,"Lena kicked the door open, but the door did not become open.",The door became open.,2,NO,0,0
add-paint-control,add,resultative,paint,control,Omar painted the fence.,The fence became white.,NA,NA,NA,0
add-paint-construction,add,resultative,paint,construction,Omar painted the fence white.,The fence became white.,0,YES,1,0
add-paint-cue,add,resultative,paint,cue,"Omar painted the fence white, but the fence did not become white.",The fence became white.,2,NO,0,0
add-push-control,add,resultative,push,control,Nina pushed the gate.,The gate became open.,NA,NA,NA,1
add-push-construction,add,resultative,push,construction,Nina pushed the gate open.,The gate became open.,0,YES,1,1
add-push-cue,add,resultative,push,cue,"Nina pushed the gate open, but the gate did not become open.",The gate became open.,2,NO,0,0
add-scrub-control,add,resultative,scrub,control,Carlos scrubbed the pot.,The pot became clean.,NA,NA,NA,0
add-scrub-construction,add,resultative,scrub,construction,Carlos scrubbed the pot clean.,The pot became clean.,0,YES,1,0
add-scrub-cue,add,resultative,scrub,cue,"Carlos scrubbed the pot clean, but the pot did not become clean.",The pot became clean.,2,NO,0,0
add-squeeze-control,add,resultative,squeeze,control,Aisha squeezed the sponge.,The sponge became dry.,NA,NA,NA,0
add-squeeze-construction,add,resultative,squeeze,construction,Aisha squeezed the sponge dry.,The sponge became dry.,0,YES,1,0
add-squeeze-cue,add,resultative,squeeze,cue,"Aisha squeezed the sponge dry, but the sponge did not become dry.",The sponge became dry.,2,NO,0,0
add-wipe-control,add,resultative,wipe,control,Sam wiped the counter.,The counter became clean.,NA,NA,NA,0
add-wipe-construction,add,resultative,wipe,construction,Sam wiped the counter clean.,The counter became clean.,0,YES,1,0
add-wipe-cue,add,resultative,wipe,cue,"Sam wiped the counter clean, but the counter did not become clean.",The counter became clean.,2,NO,0,0
can-vase-default,cancel,causative-progressive,vase,default,Sam broke the vase.,The vase broke.,0,YES,1,1
can-vase-construction,cancel,causative-progressive,vase,construction,Sam was breaking the vase.,The vase broke.,1,NO,0,0
can-vase-cue,cancel,causative-progressive,vase,cue,"Sam was breaking the vase, and the pieces scattered across the floor.",The vase broke.,0,YES,1,0
can-window-default,cancel,causative-progressive,window,default,Mara shattered the window.,The window shattered.,0,YES,1,0
can-window-construction,cancel,causative-progressive,window,construction,Mara was shattering the window.,The window shattered.,1,NO,0,0
can-window-cue,cancel,causative-progressive,window,cue,"Mara was shattering the window, and glass sprayed across the room.",The window shattered.,0,YES,1,0
can-snowman-default,cancel,causative-progressive,snowman,default,Devin melted the snowman.,The snowman melted.,0,YES,1,1
can-snowman-construction,cancel,causative-progressive,snowman,construction,Devin was melting the snowman.,The snowman melted.,1,NO,0,0
can-snowman-cue,cancel,causative-progressive,snowman,cue,"Devin was melting the snowman, and a puddle spread across the lawn.",The snowman melted.,0,YES,1,0
can-page-default,cancel,causative-progressive,page,default,Priya tore the page.,The page tore.,0,YES,1,0
can-page-construction,cancel,causative-progressive,page,construction,Priya was tearing the page.,The page tore.,1,NO,0,0
can-page-cue,cancel,causative-progressive,page,cue,"Priya was tearing the page, and the two halves came apart in her hands.",The page tore.,0,YES,1,0
can-egg-default,cancel,causative-progressive,egg,default,Lena cracked the egg.,The egg cracked.,0,YES,1,1
can-egg-construction,cancel,causative-progressive,egg,construction,Lena was cracking the egg.,The egg cracked.,1,NO,0,0
can-egg-cue,cancel,causative-progressive,egg,cue,"Lena was cracking the egg, and yolk ran down the side of the bowl.",The egg cracked.,0,YES,1,0
can-tablet-default,cancel,causative-progressive,tablet,default,Omar dissolved the tablet.,The tablet dissolved.,0,YES,1,1
can-tablet-construction,cancel,causative-progressive,tablet,construction,Omar was dissolving the tablet.,The tablet dissolved.,1,NO,0,0
can-tablet-cue,cancel,causative-progressive,tablet,cue,"Omar was dissolving the tablet, and the water turned cloudy.",The tablet dissolved.,0,YES,1,0
