item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
lecture-cc-positive,lecture,typical,cc-positive,the lecture's length,the students' engagement,"The longer the lecture ran, the more engaged the students became.",increase,"As the lecture's length increases, the students' engagement increases.",0
lecture-cc-inverse,lecture,typical,cc-inverse,the lecture's length,the students' engagement,"The longer the lecture ran, the less engaged the students became.",decrease,"As the lecture's length increases, the students' engagement increases.",2
lecture-ctrl-two,lecture,typical,ctrl-two,the lecture's length,the students' engagement,The lecture ran long. The students were highly engaged.,undetermined,"As the lecture's length increases, the students' engagement increases.",1
lecture-ctrl-single,lecture,typical,ctrl-single,the lecture's length,the students' engagement,The lecture ran longer than usual.,undetermined,"As the lecture's length increases, the students' engagement increases.",1
ticket-cc-positive,ticket,typical,cc-positive,the ticket price,the size of the crowd,"The higher the ticket price, the larger the crowd grew.",increase,"As the ticket price increases, the size of the crowd increases.",0
ticket-cc-inverse,ticket,typical,cc-inverse,the ticket price,the size of the crowd,"The higher the ticket price, the smaller the crowd grew.",decrease,"As the ticket price increases, the size of the crowd increases.",2
ticket-ctrl-two,ticket,typical,ctrl-two,the ticket price,the size of the crowd,The ticket price was high. The crowd was large.,undetermined,"As the ticket price increases, the size of the crowd increases.",1
ticket-ctrl-single,ticket,typical,ctrl-single,the ticket price,the size of the crowd,The ticket price was higher than last year.,undetermined,"As the ticket price increases, the size of the crowd increases.",1
cafe-cc-positive,cafe,typical,cc-positive,the morning's cold,the cafe's busyness,"The colder the morning, the busier the cafe got.",increase,"As the morning's cold increases, the cafe's busyness increases.",0
cafe-cc-inverse,cafe,typical,cc-inverse,the morning's cold,the cafe's busyness,"The colder the morning, the quieter the cafe got.",decrease,"As the morning's cold increases, the cafe's busyness increases.",2
cafe-ctrl-two,cafe,typical,ctrl-two,the morning's cold,the cafe's busyness,The morning was cold. The cafe was busy.,undetermined,"As the morning's cold increases, the cafe's busyness increases.",1
cafe-ctrl-single,cafe,typical,ctrl-single,the morning's cold,the cafe's busyness,The morning was colder than forecast.,undetermined,"As the morning's cold increases, the cafe's busyness increases.",1
building-cc-positive,building,typical,cc-positive,the building's age,the rent,"The older the building, the higher the rent climbed.",increase,"As the building's age increases, the rent increases.",0
building-cc-inverse,building,typical,cc-inverse,the building's age,the rent,"The older the building, the lower the rent climbed.",decrease,"As the building's age increases, the rent increases.",2
building-ctrl-two,building,typical,ctrl-two,the building's age,the rent,The building was old. The rent was high.,undetermined,"As the building's age increases, the rent increases.",1
building-ctrl-single,building,typical,ctrl-single,the building's age,the rent,The building was older than the others.,undetermined,"As the building's age increases, the rent increases.",1
lighting-cc-positive,lighting,typical,cc-positive,the brightness of the lighting,the patients' tension,"The brighter the lighting, the tenser the patients felt.",increase,"As the brightness of the lighting increases, the patients' tension increases.",0
lighting-cc-inverse,lighting,typical,cc-inverse,the brightness of the lighting,the patients' tension,"The brighter the lighting, the calmer the patients felt.",decrease,"As the brightness of the lighting increases, the patients' tension increases.",2
lighting-ctrl-two,lighting,typical,ctrl-two,the brightness of the lighting,the patients' tension,The lighting was bright. The patients were tense.,undetermined,"As the brightness of the lighting increases, the patients' tension increases.",1
lighting-ctrl-single,lighting,typical,ctrl-single,the brightness of the lighting,the patients' tension,The lighting was brighter than before.,undetermined,"As the brightness of the lighting increases, the patients' tension increases.",1
