item_id,target_word,stratum,gold,context1,context2,synset1,synset2,gloss1,gloss2,image1,image2
bat-F,bat,distinct-F,different,The **bat** flew out of the dark cave at dusk.,She gripped the **bat** and waited for the next pitch.,bat.n.01,bat.n.05,nocturnal flying mammal,club for hitting a ball,bat-F_1.jpg,bat-F_2.jpg
crane-F,crane,distinct-F,different,A **crane** waded slowly through the shallow marsh.,The **crane** lifted the steel beam to the top floor.,crane.n.05,crane.n.04,long-necked wading bird,machine for lifting heavy loads,crane-F_1.jpg,crane-F_2.jpg
bank-F,bank,distinct-F,different,We sat on the grassy **bank** of the slow river.,She deposited her paycheck at the **bank** downtown.,bank.n.01,bank.n.02,sloping land beside water,financial institution,bank-F_1.jpg,bank-F_2.jpg
pitcher-F,pitcher,distinct-F,different,He filled the **pitcher** with cold water for the table.,The **pitcher** threw a sharp curveball past the batter.,pitcher.n.02,pitcher.n.01,vessel with a handle and spout,baseball player who pitches,pitcher-F_1.jpg,pitcher-F_2.jpg
mouse-F,mouse,distinct-F,different,A small **mouse** scurried under the kitchen door.,She clicked the **mouse** to open the file.,mouse.n.01,mouse.n.04,small rodent,hand-operated computer device,mouse-F_1.jpg,mouse-F_2.jpg
seal-F,seal,distinct-F,different,The **seal** basked on the rocky shore near the waves.,He pressed the wax **seal** onto the envelope.,seal.n.09,seal.n.02,marine mammal,device incised to make an impression,seal-F_1.jpg,seal-F_2.jpg
bank-T,bank,same-T,same,She deposited her paycheck at the **bank** downtown.,The **bank** approved his mortgage loan last week.,bank.n.02,bank.n.02,financial institution,financial institution,bank-T_1.jpg,bank-T_2.jpg
crane-T,crane,same-T,same,A **crane** waded through the reeds at dawn.,The **crane** spread its wide wings and called loudly.,crane.n.05,crane.n.05,long-necked wading bird,long-necked wading bird,crane-T_1.jpg,crane-T_2.jpg
mouse-T,mouse,same-T,same,A **mouse** scurried under the old wooden door.,The cat chased a tiny **mouse** across the floor.,mouse.n.01,mouse.n.01,small rodent,small rodent,mouse-T_1.jpg,mouse-T_2.jpg
pitcher-T,pitcher,same-T,same,He filled the **pitcher** with iced lemonade.,A blue **pitcher** sat in the middle of the table.,pitcher.n.02,pitcher.n.02,vessel with a handle and spout,vessel with a handle and spout,pitcher-T_1.jpg,pitcher-T_2.jpg
seal-T,seal,same-T,same,The **seal** dove off the rock into the cold sea.,A grey **seal** rested on the sandy beach.,seal.n.09,seal.n.09,marine mammal,marine mammal,seal-T_1.jpg,seal-T_2.jpg
bat-T,bat,same-T,same,She gripped the **bat** and stepped up to the plate.,He swung the **bat** hard and missed the ball.,bat.n.05,bat.n.05,club for hitting a ball,club for hitting a ball,bat-T_1.jpg,bat-T_2.jpg
