item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
novel-cc-positive,novel,typical,cc-positive,the novel's thickness,the reader's patience,"The thicker the novel, the more patient the reader stayed.",increase,"As the novel's thickness increases, the reader's patience increases.",0
novel-cc-inverse,novel,typical,cc-inverse,the novel's thickness,the reader's patience,"The thicker the novel, the less patient the reader stayed.",decrease,"As the novel's thickness increases, the reader's patience increases.",2
novel-ctrl-two,novel,typical,ctrl-two,the novel's thickness,the reader's patience,The novel was thick. The reader was patient.,undetermined,"As the novel's thickness increases, the reader's patience increases.",1
novel-ctrl-single,novel,typical,ctrl-single,the novel's thickness,the reader's patience,The novel was thicker than the last one.,undetermined,"As the novel's thickness increases, the reader's patience increases.",1
ovens-cc-positive,ovens,typical,cc-positive,the ovens' heat,the number of customers,"The hotter the ovens ran, the more customers arrived.",increase,"As the ovens' heat increases, the number of customers increases.",0
ovens-cc-inverse,ovens,typical,cc-inverse,the ovens' heat,the number of customers,"The hotter the ovens ran, the fewer customers arrived.",decrease,"As the ovens' heat increases, the number of customers increases.",2
ovens-ctrl-two,ovens,typical,ctrl-two,the ovens' heat,the number of customers,The ovens ran hot. Many customers arrived.,undetermined,"As the ovens' heat increases, the number of customers increases.",1
ovens-ctrl-single,ovens,typical,ctrl-single,the ovens' heat,the number of customers,The ovens ran hotter than usual.,undetermined,"As the ovens' heat increases, the number of customers increases.",1
seminar-cc-positive,seminar,typical,cc-positive,the seminar's size,the amount of discussion,"The larger the seminar, the more discussion it generated.",increase,"As the seminar's size increases, the amount of discussion increases.",0
seminar-cc-inverse,seminar,typical,cc-inverse,the seminar's size,the amount of discussion,"The larger the seminar, the less discussion it generated.",decrease,"As the seminar's size increases, the amount of discussion increases.",2
seminar-ctrl-two,seminar,typical,ctrl-two,the seminar's size,the amount of discussion,The seminar was large. The discussion was lively.,undetermined,"As the seminar's size increases, the amount of discussion increases.",1
seminar-ctrl-single,seminar,typical,ctrl-single,the seminar's size,the amount of discussion,The seminar was larger than the lecture.,undetermined,"As the seminar's size increases, the amount of discussion increases.",1
summer-cc-positive,summer,typical,cc-positive,the summer's dryness,the sweetness of the apples,"The drier the summer, the sweeter the apples grew.",increase,"As the summer's dryness increases, the sweetness of the apples increases.",0
