item_id,verb,verb_class,object_type,frame,subject,object_np,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
kick-typical-transitive,kick,conative,typical,transitive,Maria,the ball,Maria kicked the ball.,Maria made contact with the ball.,0,YES,1
kick-typical-conative,kick,conative,typical,conative,Maria,the ball,Maria kicked at the ball.,Maria made contact with the ball.,1,CANT_TELL,0
kick-atypical-transitive,kick,conative,atypical,transitive,Maria,the gourd,Maria kicked the gourd.,Maria made contact with the gourd.,0,YES,1
kick-atypical-conative,kick,conative,atypical,conative,Maria,the gourd,Maria kicked at the gourd.,Maria made contact with the gourd.,1,CANT_TELL,0
hit-typical-transitive,hit,conative,typical,transitive,Jordan,the pinata,Jordan hit the pinata.,Jordan made contact with the pinata.,0,YES,1
hit-typical-conative,hit,conative,typical,conative,Jordan,the pinata,Jordan hit at the pinata.,Jordan made contact with the pinata.,1,CANT_TELL,0
hit-atypical-transitive,hit,conative,atypical,transitive,Jordan,the gong,Jordan hit the gong.,Jordan made contact with the gong.,0,YES,1
hit-atypical-conative,hit,conative,atypical,conative,Jordan,the gong,Jordan hit at the gong.,Jordan made contact with the gong.,1,CANT_TELL,0
punch-typical-transitive,punch,conative,typical,transitive,Priya,the bag,Priya punched the bag.,Priya made contact with the bag.,0,YES,1
punch-typical-conative,punch,conative,typical,conative,Priya,the bag,Priya punched at the bag.,Priya made contact with the bag.,1,CANT_TELL,0
punch-atypical-transitive,punch,conative,atypical,transitive,Priya,the effigy,Priya punched the effigy.,Priya made contact with the effigy.,0,YES,1
punch-atypical-conative,punch,conative,atypical,conative,Priya,the effigy,Priya punched at the effigy.,Priya made contact with the effigy.,1,CANT_TELL,0
slash-typical-transitive,slash,conative,typical,transitive,Tomas,the rope,Tomas slashed the rope.,Tomas made contact with the rope.,0,YES,1
slash-typical-conative,slash,conative,typical,conative,Tomas,the rope,Tomas slashed at the rope.,Tomas made contact with the rope.,1,CANT_TELL,0
slash-atypical-transitive,slash,conative,atypical,transitive,Tomas,the tarp,Tomas slashed the tarp.,Tomas made contact with the tarp.,0,YES,1
slash-atypical-conative,slash,conative,atypical,conative,Tomas,the tarp,Tomas slashed at the tarp.,Tomas made contact with the tarp.,1,CANT_TELL,0
stab-typical-transitive,stab,conative,typical,transitive,Lena,the mattress,Lena stabbed the mattress.,Lena made contact with the mattress.,0,YES,1
stab-typical-conative,stab,conative,typical,conative,Lena,the mattress,Lena stabbed at the mattress.,Lena made contact with the mattress.,1,CANT_TELL,0
stab-atypical-transitive,stab,conative,atypical,transitive,Lena,the bolster,Lena stabbed the bolster.,Lena made contact with the bolster.,0,YES,1
stab-atypical-conative,stab,conative,atypical,conative,Lena,the bolster,Lena stabbed at the bolster.,Lena made contact with the bolster.,1,CANT_TELL,0
claw-typical-transitive,claw,conative,typical,transitive,Omar,the curtain,Omar clawed the curtain.,Omar made contact with the curtain.,0,YES,1
claw-typical-conative,claw,conative,typical,conative,Omar,the curtain,Omar clawed at the curtain.,Omar made contact with the curtain.,1,CANT_TELL,0
claw-atypical-transitive,claw,conative,atypical,transitive,Omar,the settee,Omar clawed the settee.,Omar made contact with the settee.,0,YES,1
claw-atypical-conative,claw,conative,atypical,conative,Omar,the settee,Omar clawed at the settee.,Omar made contact with the settee.,1,CANT_TELL,0
swat-typical-transitive,swat,conative,typical,transitive,Nina,the cushion,Nina swatted the cushion.,Nina made contact with the cushion.,0,YES,1
swat-typical-conative,swat,conative,typical,conative,Nina,the cushion,Nina swatted at the cushion.,Nina made contact with the cushion.,1,CANT_TELL,0
swat-atypical-transitive,swat,conative,atypical,transitive,Nina,the divan,Nina swatted the divan.,Nina made contact with the divan.,0,YES,1
swat-atypical-conative,swat,conative,atypical,conative,Nina,the divan,Nina swatted at the divan.,Nina made contact with the divan.,1,CANT_TELL,0
jab-typical-transitive,jab,conative,typical,transitive,Carlos,the pad,Carlos jabbed the pad.,Carlos made contact with the pad.,0,YES,1
jab-typical-conative,jab,conative,typical,conative,Carlos,the pad,Carlos jabbed at the pad.,Carlos made contact with the pad.,1,CANT_TELL,0
