item_id,lemma,pos,period,id1,id2,human_median,human_mean,human_n,human_spread,overlap_jaccard,overlap_tokenf1
lx-1-000,ball_nn,nn1,1,fic_1823_7242.txt-4039-10,fic_1842_555.txt-2985-38,1.0,1.0,3,0.0,0.0,0.0
lx-1-001,ball_nn,nn2,1,fic_1842_7206.txt-3298-50,nf_1834_747621.txt-804-2,1.0,2.0,3,3.0,0.0182,0.0357
lx-1-002,ball_nn,nn1,1,fic_1848_7005.txt-128-33,fic_1854_9218.txt-3589-17,1.0,1.0,2,0.0,0.0,0.0
lx-1-003,ball_nn,nn2,1,fic_1853_9158.txt-2284-13,fic_1854_9218.txt-3589-17,1.0,1.0,2,0.0,0.0238,0.0465
lx-1-004,bar_nn,nn1,1,fic_1853_9158.txt-3216-38,mag_1860_556997.txt-31-47,1.0,1.0,2,0.0,0.0294,0.0571
lx-1-005,bar_nn,nn1,1,fic_1854_9193.txt-1299-7,mag_1827_553811.txt-127-14,1.0,1.0,2,0.0,0.0,0.0
lx-1-006,bar_nn,nn2,1,mag_1854_555974.txt-331-28,nf_1857_753133.txt-433-14,1.0,1.0,2,0.0,0.0,0.0
lx-1-007,bar_nn,nn1,2,mag_2007_390968.txt-43-4,news_1982_668343.txt-120-14,1.0,1.0,3,0.0,0.0,0.0
lx-1-008,bit_nn,nn2,2,fic_1966_1008.txt-3443-14,nf_1976_774315.txt-296-13,1.0,1.0,2,0.0,0.0,0.0
lx-1-009,bit_nn,nn2,2,fic_1968_23855.txt-157-35,nf_1997_773513.txt-272-7,1.0,1.0,2,0.0,0.0,0.0
lx-1-010,bit_nn,nn1,2,fic_2007_33609.txt-17-5,nf_1976_774315.txt-296-13,1.0,1.0,2,0.0,0.0,0.0
lx-1-011,bit_nn,nn1,2,nf_1969_774314.txt-490-17,nf_1997_773513.txt-272-7,1.0,1.0,2,0.0,0.0,0.0
lx-1-012,edge_nn,nn1,2,mag_1999_403149.txt-73-11,news_1985_671429.txt-20-24,1.0,1.667,3,2.0,0.0,0.0
lx-1-013,graft_nn,nn1,2,fic_1960_23766.txt-261-28,mag_1991_343858.txt-11-16,1.0,1.667,3,2.0,0.0,0.0
lx-1-014,graft_nn,nn1_vv0,2,fic_1974_13208.txt-891-12,mag_1965_478376.txt-127-39,1.0,1.0,2,0.0,0.0,0.0
lx-1-015,graft_nn,nn1_vv0,2,mag_1964_492080.txt-86-9,nf_2006_747051.txt-71-15,1.0,1.0,2,0.0,0.0,0.0
lx-1-016,graft_nn,nn1,2,mag_2003_385728.txt-83-21,nf_1980_774261.txt-641-30,1.0,1.0,2,0.0,0.0,0.0
lx-1-017,grain_nn,nn2,1,fic_1845_622.txt-1234-16,fic_1851_2538.txt-506-22,1.0,1.0,3,0.0,0.0,0.0
lx-1-018,grain_nn,nn1,2,mag_1979_318026.txt-8-3,nf_1973_774379.txt-1345-13,1.0,1.0,2,0.0,0.0,0.0
