item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
cm-sneeze-Maria-canonical,caused-motion,sneeze-Maria,canonical,1,Maria sneezed the napkin off the table.,Maria's sneezing caused the napkin to move.,0,YES,1
cm-sneeze-Maria-resist,caused-motion,sneeze-Maria,resist,2,Maria knew the napkin off the table.,Maria's knowing caused the napkin to move.,2,NO,0
cm-sneeze-Maria-cue,caused-motion,sneeze-Maria,cue,3,"Maria sneezed the napkin off the table, but the napkin never moved.",Maria's sneezing caused the napkin to move.,2,NO,0
cm-cough-Jordan-canonical,caused-motion,cough-Jordan,canonical,1,Jordan coughed the crumbs across the counter.,Jordan's coughing caused the crumbs to move.,0,YES,1
cm-cough-Jordan-resist,caused-motion,cough-Jordan,resist,2,Jordan understood the crumbs across the counter.,Jordan's understanding caused the crumbs to move.,2,NO,0
cm-cough-Jordan-cue,caused-motion,cough-Jordan,cue,3,"Jordan coughed the crumbs across the counter, but the crumbs stayed in place.",Jordan's coughing caused the crumbs to move.,2,NO,0
cm-huff-Lena-canonical,caused-motion,huff-Lena,canonical,1,Lena huffed the papers off the desk.,Lena's huffing caused the papers to move.,0,YES,1
cm-huff-Lena-resist,caused-motion,huff-Lena,resist,2,Lena believed the papers off the desk.,Lena's believing caused the papers to move.,2,NO,0
cm-huff-Lena-cue,caused-motion,huff-Lena,cue,3,"Lena huffed the papers off the desk, but the papers did not budge.",Lena's huffing caused the papers to move.,2,NO,0
cm-whistle-Tomas-canonical,caused-motion,whistle-Tomas,canonical,1,Tomas whistled the feather off the ledge.,Tomas's whistling caused the feather to move.,0,YES,1
cm-whistle-Tomas-resist,caused-motion,whistle-Tomas,resist,2,Tomas knew the feather off the ledge.,Tomas's knowing caused the feather to move.,2,NO,0
cm-whistle-Tomas-cue,caused-motion,whistle-Tomas,cue,3,"Tomas whistled the feather off the ledge, but the feather stayed on the ledge.",Tomas's whistling caused the feather to move.,2,NO,0
cm-gasp-Omar-canonical,caused-motion,gasp-Omar,canonical,1,Omar gasped the dust off the shelf.,Omar's gasping caused the dust to move.,0,YES,1
cm-gasp-Omar-resist,caused-motion,gasp-Omar,resist,2,Omar remembered the dust off the shelf.,Omar's remembering caused the dust to move.,2,NO,0
cm-gasp-Omar-cue,caused-motion,gasp-Omar,cue,3,"Omar gasped the dust off the shelf, but the dust never moved.",Omar's gasping caused the dust to move.,2,NO,0
cm-snore-Nina-canonical,caused-motion,snore-Nina,canonical,1,Nina snored the petals off the nightstand.,Nina's snoring caused the petals to move.,0,YES,1
cm-snore-Nina-resist,caused-motion,snore-Nina,resist,2,Nina assumed the petals off the nightstand.,Nina's assuming caused the petals to move.,2,NO,0
cm-snore-Nina-cue,caused-motion,snore-Nina,cue,3,"Nina snored the petals off the nightstand, but the petals stayed put.",Nina's snoring caused the petals to move.,2,NO,0
cm-hiccup-Carlos-canonical,caused-motion,hiccup-Carlos,canonical,1,Carlos hiccuped the coins off the counter.,Carlos's hiccuping caused the coins to move.,0,YES,1
cm-hiccup-Carlos-resist,caused-motion,hiccup-Carlos,resist,2,Carlos doubted the coins off the counter.,Carlos's doubting caused the coins to move.,2,NO,0
cm-hiccup-Carlos-cue,caused-motion,hiccup-Carlos,cue,3,"Carlos hiccuped the coins off the counter, but the coins did not move.",Carlos's hiccuping caused the coins to move.,2,NO,0
cm-puff-Dana-canonical,caused-motion,puff-Dana,canonical,1,Dana puffed the wrapper off the tray.,Dana's puffing caused the wrapper to move.,0,YES,1
cm-puff-Dana-resist,caused-motion,puff-Dana,resist,2,Dana believed the wrapper off the tray.,Dana's believing caused the wrapper to move.,2,NO,0
cm-puff-Dana-cue,caused-motion,puff-Dana,cue,3,"Dana puffed the wrapper off the tray, but the wrapper never moved.",Dana's puffing caused the wrapper to move.,2,NO,0
cm-cough-Sam-canonical,caused-motion,cough-Sam,canonical,1,Sam coughed the ash off the table.,Sam's coughing caused the ash to move.,0,YES,1
cm-cough-Sam-resist,caused-motion,cough-Sam,resist,2,Sam knew the ash off the table.,Sam's knowing caused the ash to move.,2,NO,0
cm-cough-Sam-cue,caused-motion,cough-Sam,cue,3,"Sam coughed the ash off the table, but the ash stayed where it was.",Sam's coughing caused the ash to move.,2,NO,0
cm-sneeze-Ravi-canonical,caused-motion,sneeze-Ravi,canonical,1,Ravi sneezed the confetti off the table.,Ravi's sneezing caused the confetti to move.,0,YES,1
cm-sneeze-Ravi-resist,caused-motion,sneeze-Ravi,resist,2,Ravi understood the confetti off the table.,Ravi's understanding caused the confetti to move.,2,NO,0
cm-sneeze-Ravi-cue,caused-motion,sneeze-Ravi,cue,3,"Ravi sneezed the confetti off the table, but the confetti stayed on the table.",Ravi's sneezing caused the confetti to move.,2,NO,0
way-whistle-Mia-canonical,way,whistle-Mia,canonical,1,Mia whistled her way down the hall.,Mia moved from one place to another.,0,YES,1
way-whistle-Mia-resist,way,whistle-Mia,resist,2,Mia slept her way down the hall.,Mia moved from one place to another.,2,NO,0
way-whistle-Mia-cue,way,whistle-Mia,cue,3,"Mia whistled her way down the hall, but she never left the doorway.",Mia moved from one place to another.,2,NO,0
way-hum-Theo-canonical,way,hum-Theo,canonical,1,Theo hummed his way through the crowd.,Theo moved from one place to another.,0,YES,1
way-hum-Theo-resist,way,hum-Theo,resist,2,Theo fainted his way through the crowd.,Theo moved from one place to another.,2,NO,0
way-hum-Theo-cue,way,hum-Theo,cue,3,"Theo hummed his way through the crowd, but he never left the entrance.",Theo moved from one place to another.,2,NO,0
way-laugh-Priya-canonical,way,laugh-Priya,canonical,1,Priya laughed her way across the room.,Priya moved from one place to another.,0,YES,1
way-laugh-Priya-resist,way,laugh-Priya,resist,2,Priya slept her way across the room.,Priya moved from one place to another.,2,NO,0
way-laugh-Priya-cue,way,laugh-Priya,cue,3,"Priya laughed her way across the room, but she never left the corner.",Priya moved from one place to another.,2,NO,0
way-sing-Lena-canonical,way,sing-Lena,canonical,1,Lena sang her way up the stairs.,Lena moved from one place to another.,0,YES,1
way-sing-Lena-resist,way,sing-Lena,resist,2,Lena fainted her way up the stairs.,Lena moved from one place to another.,2,NO,0
way-sing-Lena-cue,way,sing-Lena,cue,3,"Lena sang her way up the stairs, but she never left the bottom step.",Lena moved from one place to another.,2,NO,0
way-mutter-Karl-canonical,way,mutter-Karl,canonical,1,Karl muttered his way along the corridor.,Karl moved from one place to another.,0,YES,1
way-mutter-Karl-resist,way,mutter-Karl,resist,2,Karl slept his way along the corridor.,Karl moved from one place to another.,2,NO,0
