item_id,arm,construction,stem,condition,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct,calib
add-beat-control,add,resultative,beat,control,Maria beat the cream.,The cream became stiff.,NA,NA,NA,0
add-beat-construction,add,resultative,beat,construction,Maria beat the cream stiff.,The cream became stiff.,0,YES,1,0
add-beat-cue,add,resultative,beat,cue,"Maria beat the cream stiff, but the cream did not become stiff.",The cream became stiff.,2,NO,0,0
add-boil-control,add,resultative,boil,control,Jordan boiled the sauce.,The sauce became thick.,NA,NA,NA,0
add-boil-construction,add,resultative,boil,construction,Jordan boiled the sauce thick.,The sauce became thick.,0,YES,1,0
add-boil-cue,add,resultative,boil,cue,"Jordan boiled the sauce thick, but the sauce did not become thick.",The sauce became thick.,2,NO,0,0
add-cut-control,add,resultative,cut,control,Priya cut the rope.,The rope became short.,NA,NA,NA,1
add-cut-construction,add,resultative,cut,construction,Priya cut the rope short.,The rope became short.,0,YES,1,1
add-cut-cue,add,resultative,cut,cue,"Priya cut the rope short, but the rope did not become short.",The rope became short.,2,NO,0,0
add-hammer-control,add,resultative,hammer,control,Tomas hammered the metal.,The metal became flat.,NA,NA,NA,1
add-hammer-construction,add,resultative,hammer,construction,Tomas hammered the metal flat.,The metal became flat.,0,YES,1,1
add-hammer-cue,add,resultative,hammer,cue,"Tomas hammered the metal flat, but the metal did not become flat.",The metal became flat.,2,NO,0,0
add-kick-control,add,resultative,kick,control,Lena kicked the door.,The door became open.,NA,NA,NA,1
add-kick-construction,add,resultative,kick,construction,Lena kicked the door open.,The door became open.,0,YES,1,1
add-kick-cue,add,resultative,kick,cue,"Lena kicked the door open, but the door did not become open.",The door became open.,2,NO,0,0
add-paint-control,add,resultative,paint,control,Omar painted the fence.,The fence became white.,NA,NA,NA,0
add-paint-construction,add,resultative,paint,construction,Omar painted the fence white.,The fence became white.,0,YES,1,0
add-paint-cue,add,resultative,paint,cue,"Omar painted the fence white, but the fence did not become white.",The fence became white.,2,NO,0,0
add-push-control,add,resultative,push,control,Nina pushed the gate.,The gate became open.,NA,NA,NA,1
add-push-construction,add,resultative,push,construction,Nina pushed the gate open.,The gate became open.,0,YES,1,1
add-push-cue,add,resultative,push,cue,"Nina pushed the gate open, but the gate did not become open.",The gate became open.,2,NO,0,0
add-scrub-control,add,resultative,scrub,control,Carlos scrubbed the pot.,The pot became clean.,NA,NA,NA,0
add-scrub-construction,add,resultative,scrub,construction,Carlos scrubbed the pot clean.,The pot became clean.,0,YES,1,0
add-scrub-cue,add,resultative,scrub,cue,"Carlos scrubbed the pot clean, but the pot did not become clean.",The pot became clean.,2,NO,0,0
add-squeeze-control,add,resultative,squeeze,control,Aisha squeezed the sponge.,The sponge became dry.,NA,NA,NA,0
add-squeeze-construction,add,resultative,squeeze,construction,Aisha squeezed the sponge dry.,The sponge became dry.,0,YES,1,0
add-squeeze-cue,add,resultative,squeeze,cue,"Aisha squeezed the sponge dry, but the sponge did not become dry.",The sponge became dry.,2,NO,0,0
add-wipe-control,add,resultative,wipe,control,Sam wiped the counter.,The counter became clean.,NA,NA,NA,0
add-wipe-construction,add,resultative,wipe,construction,Sam wiped the counter clean.,The counter became clean.,0,YES,1,0
add-wipe-cue,add,resultative,wipe,cue,"Sam wiped the counter clean, but the counter did not become clean.",The counter became clean.,2,NO,0,0
can-flash-default,cancel,for-durative,flash,default,The light flashed.,The light flashed only once.,0,YES,1,1
can-flash-construction,cancel,for-durative,flash,construction,The light flashed for ten minutes.,The light flashed only once.,2,NO,0,0
can-flash-cue,cancel,for-durative,flash,cue,"The light flashed for ten minutes, but the light flashed only once.",The light flashed only once.,0,YES,1,0
can-knock-default,cancel,for-durative,knock,default,The visitor knocked on the door.,The visitor knocked only once.,0,YES,1,0
can-knock-construction,cancel,for-durative,knock,construction,The visitor knocked on the door for ten minutes.,The visitor knocked only once.,2,NO,0,0
can-knock-cue,cancel,for-durative,knock,cue,"The visitor knocked on the door for ten minutes, but the visitor knocked only once.",The visitor knocked only once.,0,YES,1,0
can-tap-default,cancel,for-durative,tap,default,The user tapped on the screen.,The user tapped only once.,0,YES,1,0
can-tap-construction,cancel,for-durative,tap,construction,The user tapped on the screen for ten minutes.,The user tapped only once.,2,NO,0,0
can-tap-cue,cancel,for-durative,tap,cue,"The user tapped on the screen for ten minutes, but the user tapped only once.",The user tapped only once.,0,YES,1,0
can-blink-default,cancel,for-durative,blink,default,The driver blinked.,The driver blinked only once.,0,YES,1,0
can-blink-construction,cancel,for-durative,blink,construction,The driver blinked for ten minutes.,The driver blinked only once.,2,NO,0,0
can-blink-cue,cancel,for-durative,blink,cue,"The driver blinked for ten minutes, but the driver blinked only once.",The driver blinked only once.,0,YES,1,0
can-jump-default,cancel,for-durative,jump,default,The dancer jumped.,The dancer jumped only once.,0,YES,1,1
can-jump-construction,cancel,for-durative,jump,construction,The dancer jumped for ten minutes.,The dancer jumped only once.,2,NO,0,0
can-jump-cue,cancel,for-durative,jump,cue,"The dancer jumped for ten minutes, but the dancer jumped only once.",The dancer jumped only once.,0,YES,1,0
can-cough-default,cancel,for-durative,cough,default,The patient coughed.,The patient coughed only once.,0,YES,1,1
can-cough-construction,cancel,for-durative,cough,construction,The patient coughed for ten minutes.,The patient coughed only once.,2,NO,0,0
can-cough-cue,cancel,for-durative,cough,cue,"The patient coughed for ten minutes, but the patient coughed only once.",The patient coughed only once.,0,YES,1,0
can-nod-default,cancel,for-durative,nod,default,The student nodded.,The student nodded only once.,0,YES,1,1
can-nod-construction,cancel,for-durative,nod,construction,The student nodded for ten minutes.,The student nodded only once.,2,NO,0,0
can-nod-cue,cancel,for-durative,nod,cue,"The student nodded for ten minutes, but the student nodded only once.",The student nodded only once.,0,YES,1,0
