lemma,pos,stratum,n_etymons,key_roots,source_note
case,N,HOMONYM,2,L casus 'a falling' (event/instance) | L capsa 'box' (container),"Wiktionary case Etym1 'from Latin casus (a falling, a fall; accident, event)' vs Etym2 'from Latin capsa (box, bookcase)'; Etymonline separate headwords case(n.1) casus / case(n.2) capsa. Two distinct common noun origins."
ball,N,HOMONYM,2,PGmc *balluz 'round object' | OFr bal / LL ballare 'to dance',"Wiktionary ball Etym1 'Old Norse bǫllr ... Proto-Germanic *balluz' vs Etym2 'Old French bal (dance), from Late Latin ballāre (to dance)'. Two distinct origins, both common nouns (round object vs formal dance)."
date,N,HOMONYM,2,Gk daktulos 'finger' (the fruit) | L datus 'given' (calendar date),"Wiktionary date Etym1 'Latin dactylus ... Ancient Greek daktulos (finger)' (the fruit) vs Etym2 'Late Latin data, from Latin datus (given)' (point in time). Two distinct common noun origins."
school,N,HOMONYM,2,L/Gk schola (institution) | MDu schole 'group/shoal' (of fish),"Wiktionary school Etym1 'Old English scōl (place of education)' vs Etym2 '...Middle English schole (group of persons, host, company)' = school of fish (MDu schole). Distinct origins; standard references treat the fish sense as a separate origin (Wiktionary phrases Etym2 as 'influenced by' — nuance noted)."
bank,N,HOMONYM,2,It banca 'bench/counter' (financial) | ON bakki 'river bank/ridge' (landform),"Etymonline bank(n.1) 'from Old Italian banca and also from French banque' (financial) vs bank(n.2) 'natural earthen incline ... from a Scandinavian source ... Old Norse bakki (river bank, ridge, mound)'. Two distinct common noun origins."
plane,N,HOMONYM,3,L planum 'flat surface' | LL plana 'planing tool' | clipping of aeroplane,"Wiktionary plane Etym1 'Latin plānum (flat surface)' vs Etym2 'Late Latin plāna (planing tool)' vs Etym3 'Clipping of aeroplane'. Multiple distinct noun origins (the Platanus tree sense unconfirmed in this fetch, not relied on)."
tear,N,HOMONYM,2,OE teran 'to rip' (a rip) | OE tēar 'tear (eye-drop)',"Wiktionary tear Etym1 'Old English teran (to tear, lacerate)' (PIE der-) vs Etym2 'Old English teagor, tēar' (eye-drop, PIE dakru-). Two distinct OE origins; the rip-noun derives from the verb, eye-drop is primarily a noun."
seal,N,HOMONYM,2,OE seolh (the marine mammal) | L sigillum 'stamp/impression',"Wiktionary seal Etym1 'Old English seolh ... Proto-Germanic *selhaz' (animal) vs Etym2 'Anglo-Norman seel, from Latin sigillum (diminutive of signum, sign)' (stamp). Two distinct common noun origins."
pitch,N,HOMONYM,2,L pix 'tar/resin' | OE *piċċan 'to thrust/throw' (field/throw/musical-pitch),"Wiktionary pitch Etym1 'Old English piċ ... from Latin pix' (tar/resin) vs Etym2 'Old English *piċċan (to thrust in, fasten, settle)' (throw); Etymonline confirms pitch(n.2) resin / pitch(v.1) thrust. Field, throw, and musical-pitch nouns descend from the thrust lineage — distinct from tar."
pitcher,N,HOMONYM,2,pitch + -er (one who pitches) | OFr pichier 'jug' (vessel),"Wiktionary pitcher Etym1 'From pitch + -er' (agent noun) vs Etym2 'Old French pichier (small jug) ... Late/Medieval Latin pīcārium' (vessel). Two distinct common noun origins."
rock,N,HOMONYM,2,OE *rocc 'stone' | OE roccian 'to sway' (> rock music genre),"Wiktionary rock Etym1 'Old English *rocc (rock)' (stone) vs Etym2 'Old English roccian (to rock, sway)' and Etym3 'From rock and roll, shortened' (music genre derives from the sway verb). Stone-noun vs music-noun are etymologically distinct. Nuance: music descends from sway."
body,N,POLYSEME,1,OE bodig,"Single Old English origin (OE bodig); all senses (physical body / main part / group / corpse) are related extensions."
