item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
roman-cc-positive,roman,typical,cc-positive,die Dicke des Romans,die Geduld des Lesers,"Je dicker der Roman war, desto geduldiger blieb der Leser.",increase,"Wenn die Dicke des Romans zunimmt, dann nimmt die Geduld des Lesers zu.",0
roman-cc-inverse,roman,typical,cc-inverse,die Dicke des Romans,die Geduld des Lesers,"Je dicker der Roman war, desto ungeduldiger wurde der Leser.",decrease,"Wenn die Dicke des Romans zunimmt, dann nimmt die Geduld des Lesers zu.",2
roman-ctrl-two,roman,typical,ctrl-two,die Dicke des Romans,die Geduld des Lesers,Der Roman war dick. Der Leser war geduldig.,undetermined,"Wenn die Dicke des Romans zunimmt, dann nimmt die Geduld des Lesers zu.",1
roman-ctrl-single,roman,typical,ctrl-single,die Dicke des Romans,die Geduld des Lesers,Der Roman war dicker als der letzte.,undetermined,"Wenn die Dicke des Romans zunimmt, dann nimmt die Geduld des Lesers zu.",1
oefen-cc-positive,oefen,typical,cc-positive,die Hitze der Öfen,die Zahl der Kunden,"Je heißer die Öfen liefen, desto mehr Kunden kamen.",increase,"Wenn die Hitze der Öfen zunimmt, dann nimmt die Zahl der Kunden zu.",0
oefen-cc-inverse,oefen,typical,cc-inverse,die Hitze der Öfen,die Zahl der Kunden,"Je heißer die Öfen liefen, desto weniger Kunden kamen.",decrease,"Wenn die Hitze der Öfen zunimmt, dann nimmt die Zahl der Kunden zu.",2
oefen-ctrl-two,oefen,typical,ctrl-two,die Hitze der Öfen,die Zahl der Kunden,Die Öfen liefen heiß. Viele Kunden kamen.,undetermined,"Wenn die Hitze der Öfen zunimmt, dann nimmt die Zahl der Kunden zu.",1
oefen-ctrl-single,oefen,typical,ctrl-single,die Hitze der Öfen,die Zahl der Kunden,Die Öfen liefen heißer als sonst.,undetermined,"Wenn die Hitze der Öfen zunimmt, dann nimmt die Zahl der Kunden zu.",1
seminar-cc-positive,seminar,typical,cc-positive,die Größe des Seminars,die Menge der Diskussion,"Je größer das Seminar war, desto mehr Diskussion entstand.",increase,"Wenn die Größe des Seminars zunimmt, dann nimmt die Menge der Diskussion zu.",0
seminar-cc-inverse,seminar,typical,cc-inverse,die Größe des Seminars,die Menge der Diskussion,"Je größer das Seminar war, desto weniger Diskussion entstand.",decrease,"Wenn die Größe des Seminars zunimmt, dann nimmt die Menge der Diskussion zu.",2
seminar-ctrl-two,seminar,typical,ctrl-two,die Größe des Seminars,die Menge der Diskussion,Das Seminar war groß. Die Diskussion war lebhaft.,undetermined,"Wenn die Größe des Seminars zunimmt, dann nimmt die Menge der Diskussion zu.",1
