item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
con-kick-transitive,conative,kick-Maria,transitive,1,Maria kicked the ball.,Maria made contact with the ball.,0,YES,1
con-kick-conative,conative,kick-Maria,conative,2,Maria kicked at the ball.,Maria made contact with the ball.,1,CANT_TELL,0
con-kick-cue,conative,kick-Maria,cue,3,"Maria kicked at the ball, and the ball sailed across the field.",Maria made contact with the ball.,0,YES,1
con-hit-transitive,conative,hit-Jordan,transitive,1,Jordan hit the pinata.,Jordan made contact with the pinata.,0,YES,1
con-hit-conative,conative,hit-Jordan,conative,2,Jordan hit at the pinata.,Jordan made contact with the pinata.,1,CANT_TELL,0
con-hit-cue,conative,hit-Jordan,cue,3,"Jordan hit at the pinata, and the pinata burst open.",Jordan made contact with the pinata.,0,YES,1
con-punch-transitive,conative,punch-Priya,transitive,1,Priya punched the bag.,Priya made contact with the bag.,0,YES,1
con-punch-conative,conative,punch-Priya,conative,2,Priya punched at the bag.,Priya made contact with the bag.,1,CANT_TELL,0
con-punch-cue,conative,punch-Priya,cue,3,"Priya punched at the bag, and the bag swung back hard.",Priya made contact with the bag.,0,YES,1
con-slash-transitive,conative,slash-Tomas,transitive,1,Tomas slashed the rope.,Tomas made contact with the rope.,0,YES,1
con-slash-conative,conative,slash-Tomas,conative,2,Tomas slashed at the rope.,Tomas made contact with the rope.,1,CANT_TELL,0
con-slash-cue,conative,slash-Tomas,cue,3,"Tomas slashed at the rope, and the rope split in two.",Tomas made contact with the rope.,0,YES,1
con-stab-transitive,conative,stab-Lena,transitive,1,Lena stabbed the mattress.,Lena made contact with the mattress.,0,YES,1
con-stab-conative,conative,stab-Lena,conative,2,Lena stabbed at the mattress.,Lena made contact with the mattress.,1,CANT_TELL,0
con-stab-cue,conative,stab-Lena,cue,3,"Lena stabbed at the mattress, and the blade sank deep into it.",Lena made contact with the mattress.,0,YES,1
con-claw-transitive,conative,claw-Omar,transitive,1,Omar clawed the curtain.,Omar made contact with the curtain.,0,YES,1
con-claw-conative,conative,claw-Omar,conative,2,Omar clawed at the curtain.,Omar made contact with the curtain.,1,CANT_TELL,0
con-claw-cue,conative,claw-Omar,cue,3,"Omar clawed at the curtain, leaving deep gashes in it.",Omar made contact with the curtain.,0,YES,1
con-swat-transitive,conative,swat-Nina,transitive,1,Nina swatted the balloon.,Nina made contact with the balloon.,0,YES,1
con-swat-conative,conative,swat-Nina,conative,2,Nina swatted at the balloon.,Nina made contact with the balloon.,1,CANT_TELL,0
con-swat-cue,conative,swat-Nina,cue,3,"Nina swatted at the balloon, and the balloon shot across the room.",Nina made contact with the balloon.,0,YES,1
con-jab-transitive,conative,jab-Carlos,transitive,1,Carlos jabbed the pad.,Carlos made contact with the pad.,0,YES,1
con-jab-conative,conative,jab-Carlos,conative,2,Carlos jabbed at the pad.,Carlos made contact with the pad.,1,CANT_TELL,0
con-jab-cue,conative,jab-Carlos,cue,3,"Carlos jabbed at the pad, and the pad jolted backward.",Carlos made contact with the pad.,0,YES,1
con-chop-transitive,conative,chop-Aisha,transitive,1,Aisha chopped the log.,Aisha made contact with the log.,0,YES,1
con-chop-conative,conative,chop-Aisha,conative,2,Aisha chopped at the log.,Aisha made contact with the log.,1,CANT_TELL,0
con-chop-cue,conative,chop-Aisha,cue,3,"Aisha chopped at the log, and the log split cleanly.",Aisha made contact with the log.,0,YES,1
con-scratch-transitive,conative,scratch-Sam,transitive,1,Sam scratched the post.,Sam made contact with the post.,0,YES,1
con-scratch-conative,conative,scratch-Sam,conative,2,Sam scratched at the post.,Sam made contact with the post.,1,CANT_TELL,0
con-scratch-cue,conative,scratch-Sam,cue,3,"Sam scratched at the post, leaving a long gouge in it.",Sam made contact with the post.,0,YES,1
con-hack-transitive,conative,hack-Wei,transitive,1,Wei hacked the branch.,Wei made contact with the branch.,0,YES,1
con-hack-conative,conative,hack-Wei,conative,2,Wei hacked at the branch.,Wei made contact with the branch.,1,CANT_TELL,0
con-hack-cue,conative,hack-Wei,cue,3,"Wei hacked at the branch, and the branch came clean off.",Wei made contact with the branch.,0,YES,1
con-whack-transitive,conative,whack-Dana,transitive,1,Dana whacked the melon.,Dana made contact with the melon.,0,YES,1
con-whack-conative,conative,whack-Dana,conative,2,Dana whacked at the melon.,Dana made contact with the melon.,1,CANT_TELL,0
con-whack-cue,conative,whack-Dana,cue,3,"Dana whacked at the melon, and the melon split open.",Dana made contact with the melon.,0,YES,1
ctrl-touch-transitive,conative-control,touch-Hana,transitive,1,Hana touched the wall.,Hana made contact with the wall.,0,YES,1
ctrl-touch-resist,conative-control,touch-Hana,resist,2,Hana touched at the wall.,Hana made contact with the wall.,NA,NA,NA
ctrl-embrace-transitive,conative-control,embrace-Luca,transitive,1,Luca embraced the child.,Luca made contact with the child.,0,YES,1
ctrl-embrace-resist,conative-control,embrace-Luca,resist,2,Luca embraced at the child.,Luca made contact with the child.,NA,NA,NA
ctrl-break-transitive,conative-control,break-Iris,transitive,1,Iris broke the vase.,Iris made contact with the vase.,0,YES,1
ctrl-break-resist,conative-control,break-Iris,resist,2,Iris broke at the vase.,Iris made contact with the vase.,NA,NA,NA
ctrl-shatter-transitive,conative-control,shatter-Mara,transitive,1,Mara shattered the window.,Mara made contact with the window.,0,YES,1
ctrl-shatter-resist,conative-control,shatter-Mara,resist,2,Mara shattered at the window.,Mara made contact with the window.,NA,NA,NA
