item_id,verb,arm,predicted,marked1,marked2
coerced-whistle,whistle,coerced-way,low,She «whistled».,She «whistled» her way down the long hall.
trans-whistle,whistle,transitive-ctrl,high,She «whistled».,She «whistled» a tune to the baby.
elab-whistle,whistle,elab-ctrl,high,She «whistled».,She «whistled» softly in the dark.
coerced-sing,sing,coerced-way,low,He «sang».,He «sang» his way into the finals.
trans-sing,sing,transitive-ctrl,high,He «sang».,He «sang» a ballad to the crowd.
elab-sing,sing,elab-ctrl,high,He «sang».,He «sang» loudly all evening long.
coerced-hum,hum,coerced-way,low,She «hummed».,She «hummed» her way through the recital.
trans-hum,hum,transitive-ctrl,high,She «hummed».,She «hummed» a melody to the child.
elab-hum,hum,elab-ctrl,high,She «hummed».,She «hummed» quietly at her desk.
coerced-dance,dance,coerced-way,low,He «danced».,He «danced» his way across the stage.
trans-dance,dance,transitive-ctrl,high,He «danced».,He «danced» a waltz with the bride.
elab-dance,dance,elab-ctrl,high,He «danced».,He «danced» happily through the night.
coerced-shout,shout,coerced-way,low,He «shouted».,He «shouted» his way to the front.
trans-shout,shout,transitive-ctrl,high,He «shouted».,He «shouted» a warning to the crowd.
elab-shout,shout,elab-ctrl,high,He «shouted».,He «shouted» angrily at the referee.
coerced-fight,fight,coerced-way,low,He «fought».,He «fought» his way through the crowd.
trans-fight,fight,transitive-ctrl,high,He «fought».,He «fought» a fierce battle with the rebels.
elab-fight,fight,elab-ctrl,high,He «fought».,He «fought» bravely until the end.
coerced-write,write,coerced-way,low,He «wrote».,He «wrote» his way into the canon.
trans-write,write,transitive-ctrl,high,He «wrote».,He «wrote» a letter to the editor.
elab-write,write,elab-ctrl,high,He «wrote».,He «wrote» carefully every morning.
coerced-read,read,coerced-way,low,She «read».,She «read» her way through the syllabus.
trans-read,read,transitive-ctrl,high,She «read».,She «read» a poem to the class.
elab-read,read,elab-ctrl,high,She «read».,She «read» silently for a full hour.
poly-run,run,polysemy-anchor,low,She «ran» a marathon.,She «ran» a successful company.
poly-draw,draw,polysemy-anchor,low,He «drew» a quick picture.,He «drew» his sword from its sheath.
poly-charge,charge,polysemy-anchor,low,The cavalry «charged» the hill.,The shop «charged» a small fee.
poly-set,set,polysemy-anchor,low,She «set» the dinner table.,The sun «set» behind the hills.
