item_id,wic_id,lemma,pos,gold,stratum,overlap_jaccard,overlap_tokenf1
v3-HF-000,test-01287,ball,N,F,HOMONYM,0.0,0.0
v3-HF-001,train-01892,ball,N,F,HOMONYM,0.0,0.0
v3-HF-002,train-04110,ball,N,F,HOMONYM,0.0,0.0
v3-HF-003,train-04315,ball,N,F,HOMONYM,0.0,0.0
v3-HF-004,train-04842,ball,N,F,HOMONYM,0.0,0.0
v3-HF-005,test-00349,bank,N,F,HOMONYM,0.0,0.0
v3-HF-006,train-00721,bank,N,F,HOMONYM,0.0,0.0
v3-HF-007,train-02370,bank,N,F,HOMONYM,0.0,0.0
v3-HF-008,train-02783,bank,N,F,HOMONYM,0.0,0.0
v3-HF-009,train-03227,bank,N,F,HOMONYM,0.0,0.0
v3-HF-010,train-00589,case,N,F,HOMONYM,0.0,0.0
v3-HF-011,train-00975,case,N,F,HOMONYM,0.0,0.0
v3-HF-012,train-01006,case,N,F,HOMONYM,0.0,0.0
v3-HF-013,train-01276,case,N,F,HOMONYM,0.0,0.0
v3-HF-014,train-01359,case,N,F,HOMONYM,0.0,0.0
v3-HF-015,train-01617,case,N,F,HOMONYM,0.0,0.0
v3-HF-016,train-02077,case,N,F,HOMONYM,0.0,0.0
v3-HF-017,train-03531,case,N,F,HOMONYM,0.0,0.0
v3-HF-018,train-03755,case,N,F,HOMONYM,0.0,0.0
v3-HF-019,train-04117,case,N,F,HOMONYM,0.0,0.0
v3-HF-020,train-04719,case,N,F,HOMONYM,0.0,0.0
v3-HF-021,train-04765,case,N,F,HOMONYM,0.0,0.0
v3-HF-022,train-04853,case,N,F,HOMONYM,0.0,0.0
v3-HF-023,dev-00303,date,N,F,HOMONYM,0.0,0.0
v3-HF-024,train-00424,date,N,F,HOMONYM,0.0,0.0
v3-HF-025,train-02353,date,N,F,HOMONYM,0.0,0.0
v3-HF-026,test-00878,pitch,N,F,HOMONYM,0.0,0.0
