item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
cm-sneeze-Maria-canonical,caused-motion,sneeze-Maria,canonical,1,Maria sneezed the dust off the pedestal.,Maria's sneezing caused the dust to move.,0,YES,1
cm-sneeze-Maria-implicit-wk,caused-motion,sneeze-Maria,implicit-wk,2,Maria sneezed the bolted-down bust off the pedestal.,Maria's sneezing caused the bolted-down bust to move.,1,NO,0
cm-sneeze-Maria-explicit,caused-motion,sneeze-Maria,explicit,3,"Maria sneezed the bolted-down bust off the pedestal, but it never budged.",Maria's sneezing caused the bolted-down bust to move.,2,NO,0
cm-cough-Jordan-canonical,caused-motion,cough-Jordan,canonical,1,Jordan coughed the crumbs across the floor.,Jordan's coughing caused the crumbs to move.,0,YES,1
cm-cough-Jordan-implicit-wk,caused-motion,cough-Jordan,implicit-wk,2,Jordan coughed the cast-iron anvil across the floor.,Jordan's coughing caused the cast-iron anvil to move.,1,NO,0
cm-cough-Jordan-explicit,caused-motion,cough-Jordan,explicit,3,"Jordan coughed the cast-iron anvil across the floor, but it did not move.",Jordan's coughing caused the cast-iron anvil to move.,2,NO,0
cm-wheeze-Lena-canonical,caused-motion,wheeze-Lena,canonical,1,Lena wheezed the dry leaves down the slope.,Lena's wheezing caused the dry leaves to move.,0,YES,1
cm-wheeze-Lena-implicit-wk,caused-motion,wheeze-Lena,implicit-wk,2,Lena wheezed the two-ton boulder down the slope.,Lena's wheezing caused the two-ton boulder to move.,1,NO,0
cm-wheeze-Lena-explicit,caused-motion,wheeze-Lena,explicit,3,"Lena wheezed the two-ton boulder down the slope, but it stayed put.",Lena's wheezing caused the two-ton boulder to move.,2,NO,0
cm-whistle-Tomas-canonical,caused-motion,whistle-Tomas,canonical,1,Tomas whistled the feather across the room.,Tomas's whistling caused the feather to move.,0,YES,1
cm-whistle-Tomas-implicit-wk,caused-motion,whistle-Tomas,implicit-wk,2,Tomas whistled the solid-oak wardrobe across the room.,Tomas's whistling caused the solid-oak wardrobe to move.,1,NO,0
cm-whistle-Tomas-explicit,caused-motion,whistle-Tomas,explicit,3,"Tomas whistled the solid-oak wardrobe across the room, but it never shifted.",Tomas's whistling caused the solid-oak wardrobe to move.,2,NO,0
cm-splutter-Omar-canonical,caused-motion,splutter-Omar,canonical,1,Omar spluttered the petals off the ledge.,Omar's spluttering caused the petals to move.,0,YES,1
cm-splutter-Omar-implicit-wk,caused-motion,splutter-Omar,implicit-wk,2,Omar spluttered the granite urn off the ledge.,Omar's spluttering caused the granite urn to move.,1,NO,0
cm-splutter-Omar-explicit,caused-motion,splutter-Omar,explicit,3,"Omar spluttered the granite urn off the ledge, but it remained in place.",Omar's spluttering caused the granite urn to move.,2,NO,0
cm-hiccup-Nina-canonical,caused-motion,hiccup-Nina,canonical,1,Nina hiccuped the confetti off the table.,Nina's hiccuping caused the confetti to move.,0,YES,1
cm-hiccup-Nina-implicit-wk,caused-motion,hiccup-Nina,implicit-wk,2,Nina hiccuped the solid bronze statuette off the table.,Nina's hiccuping caused the solid bronze statuette to move.,1,NO,0
cm-hiccup-Nina-explicit,caused-motion,hiccup-Nina,explicit,3,"Nina hiccuped the solid bronze statuette off the table, but it did not budge.",Nina's hiccuping caused the solid bronze statuette to move.,2,NO,0
cm-sneeze-Carlos-canonical,caused-motion,sneeze-Carlos,canonical,1,Carlos sneezed the lint off the counter.,Carlos's sneezing caused the lint to move.,0,YES,1
cm-sneeze-Carlos-implicit-wk,caused-motion,sneeze-Carlos,implicit-wk,2,Carlos sneezed the steel safe off the counter.,Carlos's sneezing caused the steel safe to move.,1,NO,0
cm-sneeze-Carlos-explicit,caused-motion,sneeze-Carlos,explicit,3,"Carlos sneezed the steel safe off the counter, but it stayed where it was.",Carlos's sneezing caused the steel safe to move.,2,NO,0
cm-hiccup-Dana-canonical,caused-motion,hiccup-Dana,canonical,1,Dana hiccuped the sawdust off the table.,Dana's hiccuping caused the sawdust to move.,0,YES,1
cm-hiccup-Dana-implicit-wk,caused-motion,hiccup-Dana,implicit-wk,2,Dana hiccuped the granite slab off the table.,Dana's hiccuping caused the granite slab to move.,1,NO,0
cm-hiccup-Dana-explicit,caused-motion,hiccup-Dana,explicit,3,"Dana hiccuped the granite slab off the table, but it stayed put.",Dana's hiccuping caused the granite slab to move.,2,NO,0
cm-cough-Sam-canonical,caused-motion,cough-Sam,canonical,1,Sam coughed the ash across the kitchen.,Sam's coughing caused the ash to move.,0,YES,1
cm-cough-Sam-implicit-wk,caused-motion,cough-Sam,implicit-wk,2,Sam coughed the iron stove across the kitchen.,Sam's coughing caused the iron stove to move.,1,NO,0
cm-cough-Sam-explicit,caused-motion,cough-Sam,explicit,3,"Sam coughed the iron stove across the kitchen, but it never moved.",Sam's coughing caused the iron stove to move.,2,NO,0
cm-sneeze-Aisha-canonical,caused-motion,sneeze-Aisha,canonical,1,Aisha sneezed the glitter off the shelf.,Aisha's sneezing caused the glitter to move.,0,YES,1
cm-sneeze-Aisha-implicit-wk,caused-motion,sneeze-Aisha,implicit-wk,2,Aisha sneezed the cast-iron skillet off the shelf.,Aisha's sneezing caused the cast-iron skillet to move.,1,NO,0
cm-sneeze-Aisha-explicit,caused-motion,sneeze-Aisha,explicit,3,"Aisha sneezed the cast-iron skillet off the shelf, but it did not move.",Aisha's sneezing caused the cast-iron skillet to move.,2,NO,0
