lemma,stratum,n_etymons,key_roots,source_note
afternoon_nn,POLYSEMY,1,after+noon,test
attack_nn,POLYSEMY,1,Italian attaccare,test
bag_nn,POLYSEMY,1,Old Norse baggi,test
ball_nn,HOMONYM,2,Germanic balluz vs Romance ballare,test
bar_nn,POLYSEMY,1,Old French barre,test
bit_nn,POLYSEMY,1,Old English bita,test
chairman_nn,POLYSEMY,1,chair+man,test
chef_nn,POLYSEMY,1,French chef,test
circle_vb,POLYSEMY,1,Latin circulus,test
contemplation_nn,POLYSEMY,1,Latin contemplari,test
edge_nn,POLYSEMY,1,Old English ecg,test
face_nn,POLYSEMY,1,Latin facies,test
fiction_nn,POLYSEMY,1,Latin fictio,test
gas_nn,POLYSEMY,1,coined van Helmont,test
graft_nn,AMBIGUOUS,2,Greek graphium vs Dutch graft,test
grain_nn,POLYSEMY,1,Latin granum,test
head_nn,POLYSEMY,1,Old English heafod,test
heel_nn,AMBIGUOUS,2,OE hela vs OE hieldan,test
include_vb,POLYSEMY,1,Latin includere,test
land_nn,POLYSEMY,1,Old English land,test
lane_nn,POLYSEMY,1,Old English lanu,test
lass_nn,HOMONYM,2,girl vs lassi,test
maxim_nn,POLYSEMY,1,Latin maxima,test
multitude_nn,POLYSEMY,1,Latin multitudo,test
ounce_nn,POLYSEMY,1,Latin uncia (leopard rare),test
part_nn,POLYSEMY,1,Latin pars,test
pick_vb,POLYSEMY,1,Old English pician,test
pin_vb,POLYSEMY,1,Old English pinn,test
plane_nn,HOMONYM,2,Latin planus vs Greek platanos,test
player_nn,POLYSEMY,1,play+er,test
prop_nn,POLYSEMY,1,Middle Dutch proppe,test
quilt_nn,POLYSEMY,1,Latin culcita,test
rag_nn,POLYSEMY,1,Old Norse,test
rally_nn,AMBIGUOUS,2,rallier vs railler,test
record_nn,POLYSEMY,1,Latin recordari,test
relationship_nn,POLYSEMY,1,relation+ship,test
risk_nn,POLYSEMY,1,Italian risco,test
stab_nn,POLYSEMY,1,Scots stob,test
stroke_vb,POLYSEMY,1,Old English strican,test
thump_nn,POLYSEMY,1,imitative,test
tip_vb,AMBIGUOUS,3,multiple uncertain,test
twist_nn,POLYSEMY,1,Old English,test
word_nn,POLYSEMY,1,Old English word,test
