item_id,arm,family,construction,stem,condition,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct,calib
vcs-impl-managed,cancel-survey,implicative,implicative-complement,managed,default,Sam managed to open the door.,Sam opened the door.,0,YES,1,1
vcs-impl-remembered,cancel-survey,implicative,implicative-complement,remembered,default,Mara remembered to lock the gate.,Mara locked the gate.,0,YES,1,1
vcs-impl-bothered,cancel-survey,implicative,implicative-complement,bothered,default,Devin bothered to read the contract.,Devin read the contract.,0,YES,1,1
vcs-impl-happened,cancel-survey,implicative,implicative-complement,happened,default,Priya happened to meet the senator.,Priya met the senator.,0,YES,1,1
vcs-impl-dared,cancel-survey,implicative,implicative-complement,dared,default,Lena dared to enter the cave.,Lena entered the cave.,0,YES,1,1
vcs-impl-got,cancel-survey,implicative,implicative-complement,got,default,Omar got to taste the soup.,Omar tasted the soup.,0,YES,1,1
vcs-fact-realized,cancel-survey,factive,factive-complement,realized,default,Sam realized that the door was open.,The door was open.,0,YES,1,1
vcs-fact-discovered,cancel-survey,factive,factive-complement,discovered,default,Mara discovered that the safe was empty.,The safe was empty.,0,YES,1,1
vcs-fact-regretted,cancel-survey,factive,factive-complement,regretted,default,Devin regretted that the team had lost.,The team had lost.,0,YES,1,1
vcs-fact-admitted,cancel-survey,factive,factive-complement,admitted,default,Priya admitted that the report was late.,The report was late.,0,YES,1,1
vcs-fact-noticed,cancel-survey,factive,factive-complement,noticed,default,Lena noticed that the light was on.,The light was on.,0,YES,1,1
vcs-fact-forgot,cancel-survey,factive,factive-complement,forgot,default,Omar forgot that the store was closed.,The store was closed.,0,YES,1,1
vcs-caus-broke,cancel-survey,causative-inchoative,causative-inchoative,broke,default,Sam broke the vase.,The vase broke.,0,YES,1,1
vcs-caus-shattered,cancel-survey,causative-inchoative,causative-inchoative,shattered,default,Mara shattered the window.,The window shattered.,0,YES,1,1
vcs-caus-melted,cancel-survey,causative-inchoative,causative-inchoative,melted,default,Devin melted the snowman.,The snowman melted.,0,YES,1,1
vcs-caus-tore,cancel-survey,causative-inchoative,causative-inchoative,tore,default,Priya tore the page.,The page tore.,0,YES,1,1
vcs-caus-cracked,cancel-survey,causative-inchoative,causative-inchoative,cracked,default,Lena cracked the egg.,The egg cracked.,0,YES,1,1
vcs-caus-dissolved,cancel-survey,causative-inchoative,causative-inchoative,dissolved,default,Omar dissolved the tablet.,The tablet dissolved.,0,YES,1,1
