item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold
cpc-vase-default,causative-progressive,broke,default,1,Sam broke the vase.,The vase broke.,0,YES
cpc-vase-progressive,causative-progressive,broke,progressive,2,Sam was breaking the vase.,The vase broke.,1,NO
cpc-vase-cue,causative-progressive,broke,cue,3,"Sam was breaking the vase, and the pieces scattered across the floor.",The vase broke.,0,YES
cpc-window-default,causative-progressive,shattered,default,1,Mara shattered the window.,The window shattered.,0,YES
cpc-window-progressive,causative-progressive,shattered,progressive,2,Mara was shattering the window.,The window shattered.,1,NO
cpc-window-cue,causative-progressive,shattered,cue,3,"Mara was shattering the window, and glass sprayed across the room.",The window shattered.,0,YES
cpc-snowman-default,causative-progressive,melted,default,1,Devin melted the snowman.,The snowman melted.,0,YES
cpc-snowman-progressive,causative-progressive,melted,progressive,2,Devin was melting the snowman.,The snowman melted.,1,NO
cpc-snowman-cue,causative-progressive,melted,cue,3,"Devin was melting the snowman, and a puddle spread across the lawn.",The snowman melted.,0,YES
cpc-page-default,causative-progressive,tore,default,1,Priya tore the page.,The page tore.,0,YES
cpc-page-progressive,causative-progressive,tore,progressive,2,Priya was tearing the page.,The page tore.,1,NO
cpc-page-cue,causative-progressive,tore,cue,3,"Priya was tearing the page, and the two halves came apart in her hands.",The page tore.,0,YES
cpc-egg-default,causative-progressive,cracked,default,1,Lena cracked the egg.,The egg cracked.,0,YES
cpc-egg-progressive,causative-progressive,cracked,progressive,2,Lena was cracking the egg.,The egg cracked.,1,NO
cpc-egg-cue,causative-progressive,cracked,cue,3,"Lena was cracking the egg, and yolk ran down the side of the bowl.",The egg cracked.,0,YES
cpc-tablet-default,causative-progressive,dissolved,default,1,Omar dissolved the tablet.,The tablet dissolved.,0,YES
cpc-tablet-progressive,causative-progressive,dissolved,progressive,2,Omar was dissolving the tablet.,The tablet dissolved.,1,NO
cpc-tablet-cue,causative-progressive,dissolved,cue,3,"Omar was dissolving the tablet, and the water turned cloudy.",The tablet dissolved.,0,YES
